ADM2_NAME,ADM2_CODE,Month,Year,EVI_mean,LAI_mean,FPAR_mean,LST_Kelvin_mean,Soil_Moisture_mm_mean,FPAR_count
Madaripur,5784,3,2022,-1.6247491343078464,-938.4721639223175,-955.0645948775189,303.47086653184704,1.9203461415621443,5340
Manikganj,5785,3,2022,0.308885189370157,-1458.8378744954289,-1459.3604191619122,302.9298080420583,3.2195428586236847,6437
Munshiganj,5786,3,2022,0.3421524912721777,-1550.9343963259414,-1602.4349813100227,302.89853444924705,1.9895513013891424,4376
Mymensingh,5787,3,2022,0.42596847433656276,-43.530322350191106,-45.00890943288197,301.9011524675702,4.8572456989216075,19761
Narayanganj,5788,3,2022,0.29560024937699936,-1076.0068946583963,-1076.4856728495436,303.4513839058659,2.124957612246921,3573
Narsingdi,5789,3,2022,0.3960258606097609,-955.5073386562307,-985.6703654903617,302.34344220182527,3.0493317248061764,5395
Netrakona,5790,3,2022,0.48632040377757385,-936.5288917435163,-943.3060493381951,301.25799982883797,4.947324307960905,12870
Rajbari,5791,3,2022,0.3048316938490984,-964.1522705092111,-964.6758712761593,304.29766854638456,5.779836057717134,5246
Shariatpur,5792,3,2022,-1.5188615680985909,-1864.3750403637055,-1879.627221272664,303.558603337695,1.8537401318126325,5689
Sherpur,5793,3,2022,0.46296659871893125,-95.53476234125593,-98.52518616567926,300.79106701863475,7.228484170166346,6046
Tangail,5794,3,2022,0.4033787801520473,-298.50092209957756,-304.3179611873179,302.4701314658617,4.89622733292477,15268
Bagerhat,5795,3,2022,-42.05814063082723,-1971.0867834077233,-2150.134891472495,258.65806809641225,6.057524032602757,17129
Chuadanga,5796,3,2022,0.4270963971962234,-19.573158461819858,-20.57965671244203,303.13568516633524,3.092908057896232,5178
Jessore,5797,3,2022,0.45184750897135423,-217.5310209453573,-230.32301364680612,302.3382162304466,1.940439410378094,11625
Jhenaidah,5798,3,2022,0.4317834669840982,-47.38279368749406,-48.40157195392198,303.11010089824725,3.5872876822883932,8985
Khulna,5799,3,2022,-32.52974909138549,-3689.069823463335,-3826.3406161339203,262.3292259869024,5.791752528661816,16836
Kushtia,5800,3,2022,0.33324467351779674,-692.5329747373506,-694.5186542760467,304.3404224851639,4.442679386258567,7714
Magura,5801,3,2022,0.3856724237341302,-73.00489306236017,-73.86975917924629,303.7379297276324,4.036494481735707,4809
Meherpur,5802,3,2022,0.3784847958443615,-43.03592413979518,-43.79763771172251,304.2506613815727,5.239727568950667,3120
Narail,5803,3,2022,0.3967827973399397,-110.93760686435867,-111.90688465320426,303.1026165070911,1.9552701792398057,4549
Satkhira,5804,3,2022,-50.31044017522029,-4289.475295950132,-4480.4378566378955,249.39278788994565,4.533996847835732,15413
Habiganj,5821,3,2022,0.44244175605684527,-888.4039198166089,-921.1239266265765,302.7086424923502,4.441579981932183,11905
Maulvibazar,5822,3,2022,0.35000688653993717,-749.3704927637126,-767.1797982223676,304.25174099748045,5.352645301510194,11701
Sunamganj,5823,3,2022,0.4369388691399127,-2933.100259699903,-3010.609366784992,301.6487740384731,6.959361219145865,16708
Sylhet,5824,3,2022,0.32861019676123,-367.69667910322204,-396.97198479685716,304.12698531497625,8.226553059987861,15819
Bogra,5805,3,2022,0.39262681828669843,-769.7142842112984,-771.5492437074028,302.4689200526771,6.2305530217154566,13430
Joypurhat,5808,3,2022,0.3687051078320093,-124.10930749166846,-125.1896304369308,302.7107940137262,5.818237250564696,4572
Naogaon,5811,3,2022,0.45180464569038586,-288.749383862868,-290.2137814525625,301.9947026075723,4.217280364591017,15831
Natore,5812,3,2022,0.39705222220719166,-266.67670600904376,-267.8528119090257,303.2903944002787,5.975198084078376,8813
Nawabganj,5813,3,2022,0.36859505087361544,-469.19718748386964,-470.1241200318422,303.2398547908143,3.957703991839048,7588
Pabna,5815,3,2022,0.3300057702020997,-689.2664101038479,-689.881260216762,304.23609988415313,3.445504122856651,10906
Rajshahi,5817,3,2022,0.3217887933876525,-601.8400771996302,-603.4979892710115,303.6853481332855,3.9109128262170954,11068
Sirajganj,5819,3,2022,0.37829130136057804,-1380.3267984897304,-1381.2725410959433,302.47746680450683,3.899610555427603,11445
Dinajpur,5806,3,2022,0.3546395507376418,-141.33646840906394,-142.4006176723697,302.51843856689095,5.0866533108223395,15870
Gaibandha,5807,3,2022,0.35883478323922124,-917.5917454214547,-918.478733273255,302.3694359811531,5.6264958522825435,10042
Kurigram,5809,3,2022,0.3120474359784699,-1300.9039716754705,-1301.5792115233849,301.9293568883854,4.103546643735085,10354
Lalmonirhat,5810,3,2022,0.373606764566462,-76.24732214326482,-77.29788303046551,302.1833919021893,4.134288444786067,5905
