ADM2_NAME,ADM2_CODE,Month,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm
Gazipur,5780,7,2022,0.4002297814039256,1.337993860615287,4.303422485766584,302.9336832008368,24.524371524773137
Gopalganj,5781,7,2022,0.41074616537958913,1.663477569298292,4.904065109048278,302.72491165444194,22.78463003667947
Jamalpur,5782,7,2022,0.2929218436372237,0.7801737849026126,3.0500310313879173,302.9513293177435,23.527634805102704
Kishoreganj,5783,7,2022,0.15508375720912385,0.7516033390518638,2.7294344541121385,300.9053953115062,24.7883022652545
Madaripur,5784,7,2022,0.35954159564279453,1.3166888826145804,4.451455514016916,302.5170535202459,24.286893152634995
Manikganj,5785,7,2022,0.34623596992964323,1.057496339090864,3.7657084477445495,302.2764595513354,24.231090040849338
Munshiganj,5786,7,2022,0.3808037438046048,1.3248639612687134,4.27139995610932,302.53245353481094,23.76357737445006
Mymensingh,5787,7,2022,0.33408160384656904,0.9994402331767284,3.7284374669975904,303.3923924020981,24.52802472604326
Narayanganj,5788,7,2022,0.36577975201398844,0.9480522584453186,3.6058735291748594,302.07555061500494,23.863681593975258
Narsingdi,5789,7,2022,0.3703748381167525,1.1371722966083284,3.7642415847046724,301.8183570801568,24.096740822118743
Netrakona,5790,7,2022,0.1532164465968484,0.4738396989099079,1.926120586280246,302.50584783171286,25.063789114331495
Rajbari,5791,7,2022,0.3174456944563202,1.0624534682489961,3.6586986913365735,301.9299873789243,24.218160713137433
Shariatpur,5792,7,2022,0.3609967302870995,1.2882121619708415,4.331294510123182,302.04236518404406,23.855795363521374
Sherpur,5793,7,2022,0.2795060705928801,0.7511149023316577,2.8689302748049017,304.1492874029737,24.24625532925738
Tangail,5794,7,2022,0.369813213661832,1.109883398657166,3.8276238233189006,303.16265578398065,24.02000856165611
Bagerhat,5795,7,2022,0.34495108684060455,2.1037270555230125,4.629118506643636,301.1509500642091,24.73718730726352
Chuadanga,5796,7,2022,0.4506345302920671,1.305973555518192,4.443483884771353,303.8462679042398,17.736327518178143
Jessore,5797,7,2022,0.32759787423349257,0.9884436226643287,3.591669900588427,304.23797096478415,20.752962932430727
Jhenaidah,5798,7,2022,0.3636644901991717,1.078614305262342,3.894091030896889,304.2698408543822,21.57140743619956
Khulna,5799,7,2022,0.28163119899336114,1.618487288926281,3.9281375222595636,301.46485495107527,24.55752951998233
Kushtia,5800,7,2022,0.36438418305523756,1.2101119318790152,4.1387741745344195,303.25968260703985,22.847023886762667
Magura,5801,7,2022,0.3462632736725899,1.0945830588007714,3.7869038685559655,303.6612309365993,22.603227071943145
Meherpur,5802,7,2022,0.3814273113196181,1.1635158955983174,4.131501483176993,304.81661347319334,17.74455343762149
Narail,5803,7,2022,0.3860150019053946,1.1438224151444252,4.000442000414065,303.01713485233364,19.687432856371217
Satkhira,5804,7,2022,0.26511314131967345,1.7241636518821029,3.9492041938643885,301.3721486730112,24.106228832705455
Habiganj,5821,7,2022,0.25476323563653624,0.9313704456063717,2.818658844339828,302.07393353740383,24.837369980649505
Maulvibazar,5822,7,2022,0.3374232167518608,1.4401305906237674,4.0571819954643065,303.2076547689484,25.051391696506258
Sunamganj,5823,7,2022,0.05368652622853867,0.5113228271677406,1.2805215974689335,302.17352068647426,25.140839819742048
Sylhet,5824,7,2022,0.19458174135910902,0.6385092855888163,2.1976267935152896,302.616181855816,25.17941636016013
Bogra,5805,7,2022,0.26709105251620535,0.7593850809730374,3.09664325671506,304.1281190412565,23.020467460571197
Joypurhat,5808,7,2022,0.27445513892868023,0.7473691471184233,3.1220789877913147,308.3415823238415,21.74833321546017
Naogaon,5811,7,2022,0.30432126490897454,0.8180866491907466,3.3716321245233534,304.56398983824965,20.93829037370997
Natore,5812,7,2022,0.3483544818962716,0.9930980824604773,3.595702900492452,303.9259599178215,22.459858544502943
Nawabganj,5813,7,2022,0.3618893141231672,1.0368443733702586,4.06390838233861,303.00740977362983,18.860953652844568
Pabna,5815,7,2022,0.34785559453651904,1.0836051203400663,3.7788695714232103,303.0070432673306,23.858022300393152
Rajshahi,5817,7,2022,0.31738741892411076,0.9447884232865559,3.7306907812304373,304.94648076761484,20.191096481327598
Sirajganj,5819,7,2022,0.2678173095733903,0.7776541466687404,3.079864127573939,302.6645083919002,23.812997730033125
Dinajpur,5806,7,2022,0.2553200333177638,0.6222223290156481,2.6675491259852935,307.52564442064477,21.089673686430665
Gaibandha,5807,7,2022,0.26570685309098296,0.767951566517647,3.072383541485604,303.0315545494295,22.25595600596378
Kurigram,5809,7,2022,0.23295380471087856,0.6779811578181457,2.7547779346723296,302.84419178203734,23.656887274720454
Lalmonirhat,5810,7,2022,0.2774937078660449,0.5764297044969837,2.4548150477819783,304.8043257067995,23.65649347019521
Nilphamari,5814,7,2022,0.2567979897979396,0.5477337532057996,2.339171727694103,305.56032902708256,22.547486959081
Panchagarh,5816,7,2022,0.31187753582316713,0.6534295803523504,2.6363697692974157,305.22612488521503,23.936107344837335
Rangpur,5818,7,2022,0.30394307222521766,0.7660283174232018,3.142260772547144,306.56240424272033,22.084753319542678
Thakurgaon,5820,7,2022,0.29480426203041205,0.7144595133183698,2.874488478826776,306.8517064736309,22.232792169272674
Barguna,5761,7,2022,0.3971244183452247,1.2163640422224653,4.242472418031309,300.8921785089489,25.04967252362136
Barisal,5762,8,2022,0.339450057084848,1.2824583287453974,4.138216101987878,301.51467689433326,25.340121024079153
Bhola,5763,8,2022,0.229716840866078,1.0541248728361174,3.6443978543004474,300.8894940617558,24.83843492400915
Jhalokati,5764,8,2022,0.39365579018974317,1.1473682816539073,4.071970964131428,302.73402538588044,25.382591773567118
Patuakhali,5765,8,2022,0.2528250618746222,0.6179727718030155,2.751470149453708,301.74672779361305,24.979186219793565
Pirojpur,5766,8,2022,0.3640803532673665,1.205719758331162,4.010017346153224,303.0640132613096,25.29493373392761
Bandarban,5767,8,2022,0.6370971032820666,3.1411411118195725,6.264529106386187,301.1261893934184,25.35450248763489
Brahamanbaria,5768,8,2022,0.24195659223936725,0.8675229591795237,3.3694199476659255,300.82221824839655,25.382231291380332
Chandpur,5769,8,2022,0.31473281700915584,1.5787287413906708,4.4766686183604945,300.30556062272103,25.29765972229532
Chittagong,5770,8,2022,0.466769541609809,1.6351877400580335,4.759564554745114,302.7417500058067,25.1766406865271
Comilla,5771,8,2022,0.3496229258317611,1.0659334945873216,3.9884671608034155,301.67941660545773,25.322732836221068
Cox's Bazar,5772,8,2022,0.40790302427612,1.4206553884725348,4.008183933972017,300.7791619015551,25.38047283738881
Feni,5773,8,2022,0.39971478463109344,1.358676008077611,4.7662292841172285,303.9100764528405,25.292458458756318
Khagrachhari,5774,8,2022,0.6018062511453356,2.985914812850276,6.193237820602563,301.58871072689965,25.27434179520966
